,Title,Summary,Primary Category
0,dynam backtrack,occasion return shallow point search tree exist backtrack method eras meaning progress solv search problem paper method backtrack point move deeper search space avoid difficulti techniqu develop variant backtrack polynomi space provid control retain complet guarante earlier approach,Artificial Intelligence
1,marketori program environ applic distribut multicommod flow problem,market price system constitut wellunderstood class mechan condit provid effect decis make minim commun overhead marketori program approach distribut problem solv deriv activ resourc alloc set comput agent comput competit equilibrium artifici economi walra basic construct defin comput market structur protocol deriv price equilibria realiz approach form multicommod flow problem care construct decis process econom principl lead effici distribut resourc alloc behavior meaning analyz econom term,Artificial Intelligence
2,empir analysi search gsat,extens studi search gsat approxim procedur proposit satisfi gsat perform greedi hillclimb number satisfi claus truth assign experi provid complet pictur gsat search previou account phase search rapid hillclimb long plateau search demonstr appli randomli gener sat problem simpl scale problem size number satisfi claus branch rate detail numer conjectur length hillclimb phase averag gradient phase conjectur averag score averag branch rate decay exponenti plateau search show direct futur theoret analysi work case studi experi improv understand theoret properti algorithm,Artificial Intelligence
3,difficulti learn logic program cut,real logic programm cut effect learn procedur logic program deal cut predic procedur mean claus cut learn extension evalu method learn system hand search space program space independ claus unfeas altern solut gener candid base program cover posit exampl consist insert cut problem learn program cut investig natur reason approach gener scheme investig difficulti major shortcom caus gener intension evalu conclus analysi paper suggest precis technic ground learn cut difficult current induct techniqu restrict pure declar logic languag,Artificial Intelligence
4,softwar agent complet pattern construct user interfac,support goal allow user record retriev paper describ interact notetak penbas comput distinct featur activ predict user write automat construct custom buttonbox user interfac request softwar agent machin learn compon character syntax semant user perform learn gener complet string construct user interfac descript onlin appendix peopl record paper initi effici lack flexibl record effici power note softwr user record interfac agent act user default construct custom user interfac demonstr quicktim movi note agent action file binhex selfextract archiv macintosh util binhex quicktim ftpapplecom,Artificial Intelligence
5,decid reason terminolog knowledg represent system,terminolog knowledg represent system tkrss tool design knowledg base terminolog languag concept languag analyz theoret point view tkr capabl present tkrss featur studi requir practic applic summar main point highli express terminolog languag call alcnr includ gener complement concept number restrict role conjunct express inclus statement gener concept terminolog cycl case prove decid number desir tkrsdeduct servic satisfi subsumpt instanc check sound complet termin calculu reason alcnrknowledg base calculu extend gener techniqu constraint system byproduct proof result inclus statement alcnr simul terminolog cycl descript semant,Artificial Intelligence
6,teleoreact program agent control,formal present comput organ action autonom agent dynam environ introduc notion teleoreact program execut entail construct circuitri continu comput paramet condit agent action base addit continu feedback program support paramet bind recurs primari differ program circuitbas system circuitri program compact construct time anticip conting run addit program intuit easi write written form compat automat plan learn method experiment applic program control simul actual mobil robot,Artificial Intelligence
7,learn tens english verb symbol pattern associ connectionist model,learn tens english verb seemingli minor aspect languag acquisit gener heat debat landmark task test adequaci cognit model artifici neural network ann implement challeng symbol model pose paper generalpurpos symbol pattern associ spa base decisiontre learn algorithm conduct extens headtohead comparison gener abil ann model spa represent conclud spa gener tens unseen verb ann model wide margin offer insight case discuss default strategi decisiontre learn algorithm,Artificial Intelligence
8,substructur discoveri minimum descript length background knowledg,abil identifi interest repetit substructur essenti compon discov knowledg structur data version subdu substructur discoveri base minimum descript length principl subdu discov substructur compress origin data repres structur concept data replac substructur data multipl pass subdu produc hierarch descript structur regular data subdu inexact graph match identifi ident instanc substructur find approxim measur close substructur comput constraint addit minimum descript length principl background knowledg subdu guid search substructur experi varieti domain demonstr subdu abil substructur capabl compress origin data discov structur concept domain descript onlin appendix compress tar file subdu discoveri written program accept input databas repres graph form output discov substructur,Artificial Intelligence
9,biasdriven revis logic domain theori,theori revis problem problem revis defici domain theori contain exampl expos inaccuraci paper approach theori revis problem proposit domain theori approach call ptr probabl domain theori element numer track flow proof theori measur precis role claus liter allow prevent desir undesir deriv effici locat repair flaw element theori ptr prove converg theori correctli classifi exampl experiment fast accur deep theori,Artificial Intelligence
10,explor decis forest empir investig occam razor decis tree induct,report seri experi decis tree consist train data construct experi gain understand properti set consist decis tree factor affect accuraci individu tree investig relationship size decis tree consist train data accuraci tree test data experi perform massiv parallel maspar experi artifici real problem problem investig smaller consist decis tree averag accur averag accuraci larger tree,Artificial Intelligence
11,semant complet algorithm subsumpt classic descript logic,paper analyz correct subsumpt algorithm classic descript logicbas knowledg represent practic applic order deal effici individu classic descript develop algorithm incomplet respect standard modeltheoret semant descript logic provid variant semant descript respect current implement complet independ motiv sound complet polynomialtim subsumpt algorithm establish descript graph abstract version implement structur classic independ,Artificial Intelligence
12,appli gsat nonclaus formula,paper modifi gsat appli nonclaus formula idea score function number claus cnf convers formula fals truth assign comput linear time construct cnf convers propos methodolog appli variant gsat propos,Artificial Intelligence
13,random world maximum entropi,knowledg base firstord statist fact principl method call randomworld method comput degre belief formula phi hold reason consist individu world firstord model domain satisfi comput fraction phi true defin degre belief asymptot fraction grow larg vocabulari underli phi constant unari predic natur associ entropi grow larger world higher entropi maximumentropi comput comput degre belief result spirit previou work physic artifici intellig gener equal result limit scope importantli restrict unari predic randomworld method sens gener connect maximum entropi disappear nonunari case observ unexpect limit applic maximumentropi method,Artificial Intelligence
14,pattern match discours process extract japanes text,extract task automat pick unconstrain text extract step sentenc level process locat relev piec scatter text discours process merg coreferenti gener output step piec local identifi recogn relationship key word search simpl pattern search achiev purpos step requir deeper knowledg order understand relationship separ identifi piec previou extract system focus step partli requir link piec piec link extract piec map structur output format complex discours process essenti paper report japanes extract merg pattern matcher discours processor evalu high level perform approach human perform,Artificial Intelligence
15,induct obliqu decis tree,articl describ induct obliqu decis tree combin determinist hillclimb form random good obliqu split form hyperplan node decis tree obliqu decis tree method tune domain attribut numer adapt symbol mix symbolicnumer attribut extens empir studi real artifici data analyz oc abil construct obliqu tree smaller accur axisparallel counterpart examin benefit random construct obliqu decis tree,Artificial Intelligence
16,plan learn,paper introduc framework plan learn agent goal achiev environ behavior partial agent discuss tractabl plandesign process larg natur class plan learn system plan present verifi reason time come algorithm plan simpl class system intract emphas role offlin plandesign process natur case verif project carri effici algorithm manner,Artificial Intelligence
17,wrapup trainabl discours modul extract,vast amount onlin text led renew extract system analyz unrestrict text produc structur represent select text paper present approach machin learn acquir knowledg higher level process wrapup trainabl discours compon intersententi infer identifi logic relat extract text previou corpusbas approach limit level process partofspeech tag lexic disambigu dictionari construct wrapup fulli trainabl automat decid classifi need deriv featur set classifi automat perform equal partial trainabl discours modul requir manual custom domain,Artificial Intelligence
18,oper learn graphic model,paper review empir statist learn graphic model perspect wellknown exampl graphic model includ bayesian network direct graph repres markov chain undirect network repres markov field graphic model extend model data analysi empir learn notat plate graphic oper simplifi manipul problem includ decomposit differenti manipul probabl model exponenti famili standard algorithm schema learn review graphic framework gibb sampl expect maxim algorithm oper schema popular algorithm synthes graphic specif includ version linear regress techniqu feedforward network learn gaussian discret bayesian network data paper conclud sketch implic data analysi summar popular algorithm fall framework present main origin contribut decomposit techniqu demonstr graphic model provid framework understand develop complex learn algorithm,Artificial Intelligence
19,totalord partialord plan compar analysi,year intuit underli partialord plan grant year renew fundament principl underli paradigm paper rigor compar analysi partialord totalord plan focus specif planner compar subtl assumpt underli widespread intuit suppos effici partialord plan instanc superior partialord plan depend critic search strategi structur search space understand underli assumpt crucial construct effici planner,Artificial Intelligence
20,solv multiclass learn problem errorcorrect output code,multiclass learn problem involv find definit unknown function rang discret set valu class definit acquir studi collect train exampl form exist approach multiclass learn problem includ direct applic multiclass algorithm decisiontre algorithm cart applic binari concept learn algorithm learn individu binari function class applic binari concept learn algorithm distribut output represent paper compar approach techniqu errorcorrect code employ distribut output represent output represent improv gener perform backpropag wide rang multiclass learn task demonstr approach robust respect size train sampl assign distribut represent class applic overfit avoid techniqu decisiontre prune final thatlik methodsth errorcorrect code techniqu provid reliabl class probabl estim demonstr errorcorrect output code provid generalpurpos method improv perform induct learn program multiclass problem,Artificial Intelligence
21,algorithm plan adapt,paradigm plan casebas plan plan debug involv process plan adapt modifi repair plan solv problem paper provid algorithm plan adapt demonstr sound complet systemat compar adapt algorithm literatur approach base view plan search graph partial plan gener plan start graph root move node node planrefin oper plan adapt librari plan arbitrari node plan graph start point search planadapt algorithm appli refin oper gener planner retract constraint step plan algorithm complet ensur adapt algorithm eventu search entir graph systemat ensur redundantli search part graph,Artificial Intelligence
